id,Seismic_Mag,Radiation_uSv,Comms_State,AOI_Hit
1,4.89,4.25,Down,False
2,1.64,1.91,Burst,True
3,1.53,9.21,Burst,True
4,1.24,8.75,Burst,True
5,3.88,4.77,Down,True
6,0.39,6.88,Burst,False
7,2.39,4.77,Burst,False
8,5.89,8.53,Burst,False
9,3.48,4.08,Silence,False
10,5.79,6.7,Normal,False
11,2.98,8.17,Normal,False
12,2.32,2.1,Down,True
13,3.01,0.4,Silence,True
14,5.95,3.71,Burst,False
15,3.04,2.31,Normal,False
16,0.47,4.27,Normal,False
17,1.94,1.41,Down,False
18,2.9,8.66,Normal,False
19,4.27,1.86,Normal,False
20,2.92,9.93,Normal,True
21,0.29,8.46,Normal,True
22,5.85,4.89,Down,True
23,2.22,9.85,Normal,True
24,1.54,8.14,Down,True
25,2.69,4.59,Silence,True
26,1.04,8.11,Burst,True
27,4.65,8.12,Burst,True
28,3.33,2.34,Down,False
29,0.12,0.38,Normal,True
30,5.88,6.34,Normal,False
31,3.01,2.69,Burst,False
32,1.36,1.64,Down,True
33,5.57,2.99,Down,False
34,0.84,3.09,Down,True
35,5.5,5.15,Burst,True
36,4.31,3.57,Down,True
37,2.99,2.76,Down,True
38,4.89,2.17,Burst,False
39,0.69,3.94,Down,True
40,3.28,1.1,Silence,False
41,2.67,7.72,Normal,True
42,3.3,9.15,Normal,False
43,4.91,9.53,Down,False
44,0.9,5.74,Burst,True
45,3.75,0.88,Burst,True
46,5.6,1.8,Down,True
47,1.61,5.4,Silence,False
48,3.33,4.26,Burst,False
49,2.09,6.92,Silence,False
50,1.65,5.84,Down,False
51,2.38,2.17,Burst,False
52,5.1,7.93,Burst,False
53,0.2,1.95,Normal,False
54,1.99,1.27,Burst,False
55,2.46,5.15,Down,True
56,2.85,6.68,Silence,False
57,0.16,3.77,Burst,False
58,4.62,1.57,Down,True
59,5.94,9.64,Down,False
60,3.74,2.87,Silence,True
61,0.79,1.87,Normal,True
62,0.54,9.7,Silence,False
63,5.68,6.23,Down,True
64,4.66,1.7,Silence,True
65,3.75,3.61,Down,False
66,1.26,1.11,Normal,True
67,1.59,9.73,Burst,True
68,3.39,4.36,Normal,True
69,2.25,7.23,Silence,True
70,5.05,8.16,Silence,False
71,4.97,6.4,Silence,False
72,0.45,0.61,Silence,False
73,5.45,8.71,Burst,False
74,2.02,6.36,Normal,False
75,2.4,7.99,Burst,False
76,2.86,5.51,Normal,False
77,3.82,6.07,Down,False
