timestamp_utc,qa_total_tests,qa_passed,qa_failed,pipeline_health_snippet
2025-12-01T08:58:38.295877,7,7,0,====================================== |  GLL PIPELINE HEALTH SUMMARY | ====================================== | Overall Health Score: 90/100 | Status: GREEN |  | QA Passed: 7 | QA Failed: 0 | Critica
2025-12-01T09:10:13.824535,7,7,0,====================================== |  GLL PIPELINE HEALTH SUMMARY | ====================================== | Overall Health Score: 90/100 | Status: GREEN |  | QA Passed: 7 | QA Failed: 0 | Critica
2025-12-02T00:28:26.569995,1,5,ok,0.41,0.259
2025-12-02T00:28:26.570351,2,5,ok,0.4,0.25
2025-12-02T00:28:26.570444,3,5,ok,0.1,0.077
2025-12-02T00:28:26.570526,4,5,ok,0.408,0.149
2025-12-02T00:28:26.570600,5,5,ok,0.497,0.217
2025-12-02T00:28:26.570670,6,5,ok,0.702,0.232
2025-12-02T00:28:26.570734,7,5,ok,0.473,0.167
2025-12-02T00:28:26.570797,8,5,ok,0.296,0.11
2025-12-02T00:28:26.570858,9,5,ok,0.89,0.28
2025-12-02T00:28:26.570919,10,5,ok,0.609,0.272
2025-12-02T00:28:57.367981,1,5,ok,0.842,0.271
2025-12-02T00:28:57.368259,2,5,ok,0.4,0.169
2025-12-02T00:28:57.368350,3,5,ok,0.37,0.141
2025-12-02T00:28:57.368428,4,5,ok,0.431,0.167
2025-12-02T00:28:57.368501,5,5,ok,0.643,0.251
2025-12-02T00:28:57.368572,6,5,ok,0.324,0.132
2025-12-02T00:28:57.368638,7,5,ok,0.4,0.197
2025-12-02T00:28:57.368704,8,5,ok,0.84,0.226
2025-12-02T00:28:57.368768,9,5,ok,0.4,0.178
2025-12-02T00:28:57.368832,10,5,ok,0.508,0.205
