id,Seismic_Mag,Radiation_uSv,Comms_State,AOI_Hit
1,2.65,8.06,Normal,True
2,1.45,7.57,Down,False
3,5.86,7.88,Burst,False
4,2.16,6.63,Down,False
5,5.98,6.24,Silence,True
6,2.07,5.02,Normal,True
7,4.22,5.33,Down,True
8,2.9,2.71,Normal,False
9,5.06,5.77,Normal,True
10,0.78,9.66,Down,False
11,1.05,8.57,Normal,True
12,2.51,1.01,Down,False
13,5.07,2.69,Silence,False
14,2.49,7.9,Down,True
15,3.84,4.84,Normal,True
16,3.88,1.6,Down,False
17,5.19,9.7,Normal,True
18,1.26,9.7,Down,True
19,5.13,0.56,Silence,True
20,1.82,3.75,Burst,False
21,1.61,6.7,Normal,False
22,5.42,6.33,Silence,False
23,2.85,2.24,Normal,False
24,2.26,5.65,Silence,True
25,4.46,2.35,Silence,True
26,0.59,3.64,Down,False
27,3.62,7.53,Down,False
28,0.92,6.78,Down,True
29,1.06,5.23,Silence,True
30,2.82,4.3,Silence,False
31,0.25,0.49,Burst,False
32,5.21,7.77,Normal,False
33,2.92,5.47,Burst,False
34,1.39,0.44,Down,False
35,5.72,8.6,Down,True
36,1.64,4.15,Normal,True
37,5.0,3.05,Down,True
38,5.39,9.41,Silence,True
39,4.9,7.81,Silence,False
40,1.72,1.31,Normal,True
41,0.55,4.79,Burst,False
42,1.46,0.23,Normal,True
43,5.22,8.04,Silence,True
44,3.25,2.85,Normal,True
45,0.44,8.49,Normal,False
46,1.69,6.57,Down,True
47,3.18,6.31,Burst,True
48,3.35,3.35,Down,False
49,4.33,1.84,Down,False
50,2.99,0.75,Burst,False
51,5.91,3.65,Silence,False
52,3.68,1.48,Silence,True
53,5.26,1.91,Down,False
54,4.05,2.63,Normal,True
55,2.38,6.08,Normal,True
56,4.22,9.88,Normal,False
57,5.28,9.35,Burst,False
58,0.24,8.24,Burst,True
59,4.37,4.45,Normal,True
60,1.28,6.61,Down,True
61,5.27,7.37,Normal,False
62,4.09,2.69,Silence,False
63,3.14,2.29,Down,False
64,4.71,0.02,Down,False
65,0.07,2.82,Burst,True
66,0.17,5.8,Silence,False
67,1.7,3.61,Burst,False
68,3.45,1.46,Burst,True
69,4.39,5.72,Normal,True
70,4.26,8.1,Down,False
71,4.52,0.95,Silence,False
72,3.57,5.9,Burst,True
73,4.26,4.36,Silence,True
74,0.46,0.47,Down,True
75,1.92,7.93,Silence,True
76,0.32,0.18,Burst,True
77,4.22,5.91,Silence,False
78,5.7,6.3,Down,False
79,1.76,3.88,Down,False
80,1.2,3.47,Normal,True
81,4.29,3.38,Burst,True
82,5.06,1.35,Burst,False
83,3.38,5.02,Normal,False
84,5.24,3.66,Silence,True
85,1.46,4.48,Down,False
86,3.05,1.51,Burst,True
87,4.56,2.8,Silence,True
88,4.4,3.88,Normal,True
89,0.25,1.39,Down,False
90,1.56,0.14,Silence,True
91,0.69,3.78,Burst,True
92,0.81,8.05,Normal,False
93,3.44,6.21,Silence,True
94,0.07,6.26,Down,True
95,0.2,7.72,Normal,False
96,0.54,4.21,Silence,False
97,3.02,7.42,Normal,True
98,4.28,1.15,Down,False
99,1.7,3.49,Burst,True
100,5.64,2.37,Normal,True
101,0.9,9.71,Silence,False
102,1.25,1.22,Burst,True
103,1.48,3.98,Burst,True
104,4.25,8.66,Silence,True
105,3.6,2.92,Silence,False
106,1.29,2.55,Normal,True
107,2.46,2.06,Down,False
108,0.87,9.05,Normal,True
109,5.02,7.03,Down,True
110,1.86,9.59,Down,True
111,2.45,2.04,Silence,False
112,3.54,3.28,Normal,True
113,5.68,3.05,Normal,False
114,4.88,3.15,Normal,False
115,3.89,2.81,Down,True
116,1.74,0.76,Burst,False
117,0.75,0.51,Burst,False
118,2.37,0.52,Normal,True
119,5.01,5.37,Normal,True
120,3.9,9.48,Silence,False
121,0.95,9.4,Silence,False
122,2.89,4.64,Down,False
123,4.52,4.65,Burst,False
124,2.69,6.83,Silence,False
125,0.6,5.24,Silence,False
126,3.6,7.78,Burst,True
127,5.33,5.97,Silence,True
128,2.4,6.46,Silence,False
129,0.04,3.61,Silence,True
130,5.33,6.58,Silence,False
131,0.21,5.32,Down,True
132,1.87,2.17,Silence,False
133,3.81,9.54,Normal,False
134,4.55,5.2,Silence,False
135,4.24,1.26,Normal,False
136,4.18,7.75,Silence,False
137,4.92,2.04,Burst,False
138,3.49,3.95,Burst,False
139,1.29,4.68,Silence,False
140,0.38,5.87,Silence,True
141,4.67,3.74,Normal,False
142,4.25,8.4,Burst,False
143,5.33,8.36,Normal,False
